,Irma,Ian,Wilma,Frances,Jeanne,Charley,Ivan,Michael
33004,3597.0,2.0,2138.0,202.0,0.0,0.0,0.0,0.0
33005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33008,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33009,7755.0,7.0,3449.0,313.0,0.0,0.0,0.0,0.0
33010,12804.0,1.0,3145.0,67.0,0.0,0.0,0.0,0.0
33012,17884.0,4.0,5981.0,96.0,0.0,0.0,0.0,0.0
33013,9639.0,3.0,3066.0,34.0,0.0,0.0,0.0,0.0
33014,8379.0,4.0,2630.0,56.0,0.0,0.0,0.0,0.0
33015,12194.0,7.0,4454.0,152.0,0.0,0.0,0.0,0.0
33016,9358.0,8.0,2662.0,46.0,0.0,0.0,0.0,0.0
33017,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33018,10764.0,3.0,3515.0,73.0,0.0,0.0,0.0,0.0
33019,1779.0,3.0,1172.0,31.0,0.0,0.0,0.0,0.0
33020,11394.0,16.0,5136.0,406.0,0.0,0.0,0.0,0.0
33021,7581.0,12.0,5545.0,164.0,0.0,0.0,0.0,0.0
33022,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
33023,19408.0,24.0,10193.0,943.0,1.0,0.0,0.0,1.0
33024,13648.0,10.0,8576.0,347.0,0.0,0.0,0.0,0.0
33025,14897.0,15.0,5682.0,314.0,0.0,0.0,0.0,0.0
33026,3615.0,3.0,3095.0,66.0,0.0,0.0,1.0,0.0
33027,7901.0,3.0,3221.0,40.0,0.0,0.0,0.0,0.0
33028,2444.0,1.0,1512.0,28.0,0.0,0.0,0.0,0.0
33029,5299.0,10.0,4021.0,48.0,0.0,0.0,0.0,0.0
33030,8293.0,6.0,2388.0,496.0,0.0,0.0,0.0,0.0
33031,1315.0,1.0,652.0,8.0,0.0,0.0,0.0,0.0
33032,13476.0,9.0,2430.0,550.0,0.0,0.0,0.0,0.0
33033,15671.0,9.0,2774.0,347.0,0.0,0.0,0.0,0.0
33034,6089.0,7.0,1585.0,431.0,0.0,2.0,0.0,0.0
33035,3781.0,0.0,360.0,15.0,0.0,0.0,0.0,0.0
33036,1553.0,39.0,331.0,0.0,0.0,32.0,0.0,0.0
33037,5361.0,141.0,1067.0,0.0,0.0,55.0,0.0,0.0
33038,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33039,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33040,16549.0,1969.0,8601.0,1.0,0.0,102.0,0.0,0.0
33041,5.0,1.0,55.0,0.0,0.0,5.0,0.0,0.0
33042,4148.0,132.0,1667.0,0.0,0.0,15.0,0.0,0.0
33043,3080.0,76.0,1196.0,0.0,1.0,8.0,0.0,1.0
33044,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
33045,5.0,1.0,33.0,0.0,0.0,3.0,0.0,0.0
33048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33049,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33050,5898.0,156.0,2332.0,1.0,0.0,27.0,0.0,0.0
33051,513.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0
33052,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
33054,10765.0,8.0,4992.0,1863.0,0.0,1.0,0.0,0.0
